OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9045,N14,N185,PALAVAKKAM,PALKALAI NGR,PALKALAI NAGAR AVENUE,S_W185_001,12.965476,80.261186,80.2611862,12.9654758,Half Full
9046,N14,N185,PALAVAKKAM,PALKALAI NGR,PALKALAI NAGAR AVENUE,S_W185_004,12.965709,80.259045,80.2590455,12.9657091,Half Full
9047,N14,N185,PALAVAKKAM,PALKALAI NGR,PALKALAI NAGAR AVENUE,S_W185_003,12.965478,80.261274,80.2612739,12.9654782,Half Full
9048,N14,N185,PALAVAKKAM,PALKALAI NGR,PALKALAI NAGAR AVENUE,S_W185_002,12.965487,80.261301,80.2613005,12.9654875,Full
9049,N14,N185,PALAVAKKAM,ECR,M.G.R MAIN SALAI,S_W185_001,12.957537,80.262383,80.2623834,12.9575367,Full
9050,N14,N185,PALAVAKKAM,ECR,M.G.R MAIN SALAI,S_W185_002,12.957581,80.260717,80.2607169,12.9575812,Full
9051,N14,N185,PALAVAKKAM,ECR,M.G.R MAIN SALAI,S_W185_003,12.957671,80.262374,80.2623739,12.9576711,Full
9052,N14,N185,PALAVAKKAM,ECR,M.G.R MAIN SALAI,S_W185_004,12.957757,80.258017,80.2580173,12.9577566,Full
9053,N14,N186,Perungudi,Perungudi,Kamaraj Nagar 6th Cross Street,S_W186_001,12.965764,80.236903,80.236903,12.9657635,Full
9054,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 8th Cross Street,S_W186_001,12.960316,80.242122,80.2421219,12.9603163,Half Full
9055,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 8th Cross Street,S_W186_002,12.960391,80.24335,80.2433504,12.9603914,Full
9056,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_001,12.957146,80.237863,80.2378633,12.9571463,Full
9057,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_002,12.957172,80.237828,80.237828,12.9571721,Full
9058,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_003,12.957574,80.239011,80.2390106,12.9575741,Full
9059,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_004,12.957574,80.239098,80.2390984,12.9575739,Full
